Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,"-0,00965481457320272","0,0111120747049655","0,0120772735216159",0,0,0,"0,197321172139232","0,000254464488119407","5,7773136475039E-08","-2,4030438420844E-07","0,000348452218851022","-4,09032412681973E-05","0,000146305796028143",0,0,0,0,0,0,package://robot_ws/meshes/base.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://robot_ws/meshes/base.STL,,IMU-1;Base-1;Baterai-2;ESP32-1;Driver-1;Motor-1;Motor-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left Wheel,"0,015634","3,4368E-10","-7,9793E-11",0,0,0,"0,30171","0,00021617","-1,8513E-13","8,6051E-15","0,00011754","-8,418E-14","0,00011754",0,0,0,0,0,0,package://robot_ws/meshes/Left Wheel.STL,"0,65098","0,61961","0,58824",1,0,0,0,0,0,0,package://robot_ws/meshes/Left Wheel.STL,,Roda-2,Origin_left_wheel,Axis_left_wheel,left_wheel,continuous,"-0,061096","-0,051666","0,00018021","-2,2886",0,"3,1416",base,1,0,0,,,,,,,,,,,,
Right Wheel,"0,015634","1,0186E-10","-2,1241E-11",0,0,0,"0,30171","0,00021617","6,8231E-14","-9,3068E-15","0,00011754","-3,8625E-13","0,00011754",0,0,0,0,0,0,package://robot_ws/meshes/Right Wheel.STL,"0,65098","0,61961","0,58824",1,0,0,0,0,0,0,package://robot_ws/meshes/Right Wheel.STL,,Roda-1,Origin_right_wheel,Axis_right_wheel,right_wheel,continuous,"0,041879","-0,051666","0,00018021","0,95996",0,0,base,1,0,0,,,,,,,,,,,,
Free Wheel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://robot_ws/meshes/Free Wheel.STL,1,1,1,1,0,0,0,0,0,0,package://robot_ws/meshes/Free Wheel.STL,,Freewheel-2,Origin_free_wheel,Axis_free_wheel,free_wheel,continuous,"-0,00945839046097954","0,0740844223621159","-0,0106197918296602","1,5707963267949",0,0,base,0,1,0,,,,,,,,,,,,
